event_id,date_of_event,country,Place,Orchestra,program,conductor
1,1900-06-18,France,Paris,Vienna Philharmonic,Bee 67,Gustav Mahler
1,1900-06-18,France,Paris,Vienna Philharmonic,Bee 72b,Gustav Mahler
1,1900-06-18,France,Paris,Vienna Philharmonic,Moz 550,Gustav Mahler
1,1900-06-18,France,Paris,Vienna Philharmonic,Wag 96/1,Gustav Mahler
1,1900-06-18,France,Paris,Vienna Philharmonic,Web Ob,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Bra Wiegenlied,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Bra Wiegenlied,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Bra Wiegenlied,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Herbeck Werners Lied,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Herbeck Werners Lied,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Herbeck Werners Lied,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Kremser Im Winter,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Kremser Im Winter,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Kremser Im Winter,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 714,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 714,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 714,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 809,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 809,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Schb 809,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Schm 65,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Schm 65,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Schm 65,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 69,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 69,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 69,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 75/Gralserzählung,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 75/Gralserzählung,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Wag 75/Gralserzählung,Richard von Perger
2,1900-06-19,France,Paris,Vienna Philharmonic,Web 77,Eduard Kremser
2,1900-06-19,France,Paris,Vienna Philharmonic,Web 77,Gustav Mahler
2,1900-06-19,France,Paris,Vienna Philharmonic,Web 77,Richard von Perger
3,1900-06-20,France,Paris,Vienna Philharmonic,Bee 50,Gustav Mahler
3,1900-06-20,France,Paris,Vienna Philharmonic,Bee 84,Gustav Mahler
3,1900-06-20,France,Paris,Vienna Philharmonic,Berl 14,Gustav Mahler
3,1900-06-20,France,Paris,Vienna Philharmonic,Wag 90/1,Gustav Mahler
4,1900-06-21,France,Paris,Vienna Philharmonic,Bee 55,Gustav Mahler
4,1900-06-21,France,Paris,Vienna Philharmonic,Bru 104/Scherzo,Gustav Mahler
4,1900-06-21,France,Paris,Vienna Philharmonic,Gold Im Frühling,Gustav Mahler
4,1900-06-21,France,Paris,Vienna Philharmonic,Schb 759,Gustav Mahler
4,1900-06-21,France,Paris,Vienna Philharmonic,Wag 70/1,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Abt Mir träumte,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Abt Mir träumte,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Gold Frühlingsnetz,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Gold Frühlingsnetz,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Grieg Landkennung,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Grieg Landkennung,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Herbeck Werners Lied,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Herbeck Werners Lied,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Jüngst Braun Meidelein,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Jüngst Braun Meidelein,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Kremser Dankgebet,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Kremser Dankgebet,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Schb 656,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Schb 656,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Schm 65,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Schm 65,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Storch Nachtzauber,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Storch Nachtzauber,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Wag 70/Pilgerchor,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Wag 70/Pilgerchor,Gustav Mahler
5,1900-06-22,France,Paris,Vienna Philharmonic,Wag 90/1,Eduard Kremser
5,1900-06-22,France,Paris,Vienna Philharmonic,Wag 90/1,Gustav Mahler
6,1906-06-26,Great Britain,London,Vienna Philharmonic,Bee 67,Franz Schalk
6,1906-06-26,Great Britain,London,Vienna Philharmonic,Elg 36,Franz Schalk
6,1906-06-26,Great Britain,London,Vienna Philharmonic,Moz 550,Franz Schalk
6,1906-06-26,Great Britain,London,Vienna Philharmonic,Wag 96/1,Franz Schalk
6,1906-06-26,Great Britain,London,Vienna Philharmonic,Web Ob,Franz Schalk
7,1906-06-28,Great Britain,London,Vienna Philharmonic,Bee 72b,Franz Schalk
7,1906-06-28,Great Britain,London,Vienna Philharmonic,Bra 68,Franz Schalk
7,1906-06-28,Great Britain,London,Vienna Philharmonic,Hay 94,Franz Schalk
7,1906-06-28,Great Britain,London,Vienna Philharmonic,Str 20,Franz Schalk
7,1906-06-28,Great Britain,London,Vienna Philharmonic,Wag 90/1,Franz Schalk
8,1906-06-30,Great Britain,London,Vienna Philharmonic,Bee 84,Franz Schalk
